date,sitting_time
2023-04-01 17:56,00:50:43
2023-04-01 18:36,00:39:45
2023-04-01 19:20,00:40:13
2023-04-01 22:29,02:55:02
2023-04-01 23:13,00:44:09
2023-04-01 00:01,00:47:40
2023-04-01 00:37,00:35:27
2023-04-03 22:04,00:35:24
2023-04-05 21:04,00:35:56
2023-04-05 21:41,00:36:40
2023-04-22 22:07,00:39:01
2023-04-22 22:41,00:33:29
2023-04-22 23:20,00:38:50
2023-04-22 23:50,00:30:29
2023-04-22 00:33,00:42:50
2023-05-03 18:42,00:38:00
2023-05-03 19:36,00:53:52
2023-05-03 20:13,00:37:42
2023-05-03 20:50,00:36:19
2023-05-03 21:23,00:32:55
2023-05-03 22:07,00:44:14
2023-05-03 22:58,00:50:12
2023-05-03 23:40,00:42:41
2023-05-03 00:26,00:45:13
2023-06-24 14:00,00:23:36
2023-06-24 14:40,00:39:31
2023-06-24 15:13,00:33:12
2023-06-24 16:07,00:53:58
2023-06-24 16:44,00:36:38
2023-06-24 17:17,00:32:47
